timestamp,missing_items,snapshot
2026-03-31T18:49:49.685002,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
2026-03-31T18:49:49.830897,"helmet,vest",snapshots\violation_20260331_184949_helmet_vest.jpg
2026-03-31T18:49:49.959624,vest,snapshots\violation_20260331_184949_vest.jpg
2026-03-31T18:49:50.092419,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:50.264480,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:50.447156,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:50.594055,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:50.752003,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:50.893434,"helmet,vest",snapshots\violation_20260331_184950_helmet_vest.jpg
2026-03-31T18:49:51.035012,"helmet,vest",snapshots\violation_20260331_184951_helmet_vest.jpg
2026-03-31T18:49:51.169900,"helmet,vest",snapshots\violation_20260331_184951_helmet_vest.jpg
2026-03-31T18:49:51.305527,"helmet,vest",snapshots\violation_20260331_184951_helmet_vest.jpg
2026-03-31T18:49:51.431849,"helmet,vest",snapshots\violation_20260331_184951_helmet_vest.jpg
2026-03-31T18:49:51.679643,"helmet,vest",snapshots\violation_20260331_184951_helmet_vest.jpg
2026-03-31T18:49:52.619416,"helmet,vest",snapshots\violation_20260331_184952_helmet_vest.jpg
2026-03-31T18:49:52.875732,"helmet,vest",snapshots\violation_20260331_184952_helmet_vest.jpg
2026-03-31T18:49:53.005303,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.130216,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.279343,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.405423,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.530221,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.654302,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.788825,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:53.912147,"helmet,vest",snapshots\violation_20260331_184953_helmet_vest.jpg
2026-03-31T18:49:54.031378,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.157906,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.301195,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.426307,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.551961,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.677297,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.813935,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:54.944622,"helmet,vest",snapshots\violation_20260331_184954_helmet_vest.jpg
2026-03-31T18:49:55.066155,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.196848,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.325627,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.451678,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.584834,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.716235,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.859797,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:55.994940,"helmet,vest",snapshots\violation_20260331_184955_helmet_vest.jpg
2026-03-31T18:49:56.169533,"helmet,vest",snapshots\violation_20260331_184956_helmet_vest.jpg
2026-03-31T18:49:56.331969,"helmet,vest",snapshots\violation_20260331_184956_helmet_vest.jpg
2026-03-31T18:49:56.459786,"helmet,vest",snapshots\violation_20260331_184956_helmet_vest.jpg
2026-03-31T18:49:56.632783,"helmet,vest",snapshots\violation_20260331_184956_helmet_vest.jpg
2026-03-31T18:49:57.856269,"helmet,vest",snapshots\violation_20260331_184957_helmet_vest.jpg
2026-03-31T18:49:58.085646,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.233236,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.410990,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.559652,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.678395,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.804669,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:58.969353,"helmet,vest",snapshots\violation_20260331_184958_helmet_vest.jpg
2026-03-31T18:49:59.120997,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.269325,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.415964,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.546210,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.673783,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.806189,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:49:59.939791,"helmet,vest",snapshots\violation_20260331_184959_helmet_vest.jpg
2026-03-31T18:50:00.077170,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.202728,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.327475,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.468295,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.590686,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.719343,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.856967,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:00.992450,"helmet,vest",snapshots\violation_20260331_185000_helmet_vest.jpg
2026-03-31T18:50:01.121442,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.241172,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.369944,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.502596,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.627772,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.749631,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:01.881977,"helmet,vest",snapshots\violation_20260331_185001_helmet_vest.jpg
2026-03-31T18:50:02.020459,"helmet,vest",snapshots\violation_20260331_185002_helmet_vest.jpg
2026-03-31T18:50:02.948783,"helmet,vest",snapshots\violation_20260331_185002_helmet_vest.jpg
2026-03-31T18:50:03.216636,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:03.354847,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:03.478113,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:03.620617,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:03.739527,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:03.873017,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:04.000169,"helmet,vest",snapshots\violation_20260331_185003_helmet_vest.jpg
2026-03-31T18:50:04.129102,"helmet,vest",snapshots\violation_20260331_185004_helmet_vest.jpg
2026-03-31T18:50:04.254600,"helmet,vest",snapshots\violation_20260331_185004_helmet_vest.jpg
2026-03-31T18:50:04.380234,vest,snapshots\violation_20260331_185004_vest.jpg
